0 I 6826 <6825, 5> <6827, 5>
3762  L 6877 3762 <6876, 3> <6878, 3>
3764  L 6878 3764 <6877, 3> <6879, 5>
3765  L 6879 3765 <6878, 5> <6880, 3>
3767  L 6880 3767 <6879, 3> <6881, 4>
3769  L 6881 3769 <6880, 4> <6882, 2>
3770  L 6882 3770 <6881, 2> <6883, 3>
3771  L 6883 3771 <6882, 3> <6884, 3>
3772  L 6884 3772 <6883, 3> <6885, 2>
3774  L 6885 3774 <6884, 2> <6886, 1>
3776  L 6886 3776 <6885, 1> <6887, 4>
3778  L 6887 3778 <6886, 4> <6888, 3>
3779  L 6888 3779 <6887, 3> <6889, 2>
3780  L 6889 3780 <6888, 2> <6890, 5>
3781  L 6890 3781 <6889, 5> <6891, 5>
3782  L 6891 3782 <6890, 5> <6892, 2>
3783  L 6892 3783 <6891, 2> <6893, 3>
3785  L 6893 3785 <6892, 3> <6894, 4>
3786  L 6894 3786 <6893, 4> <6895, 2>
3787  L 6895 3787 <6894, 2> <6896, 4>
3788  L 6896 3788 <6895, 4> <6897, 3>
3789  L 6897 3789 <6896, 3> <6898, 3>
3790  L 6898 3790 <6897, 3> <6899, 4>
3791  L 6899 3791 <6898, 4> <6900, 4>
3792  L 6900 3792 <6899, 4> <6901, 5>
3793  L 6901 3793 <6900, 5> <6902, 5>
3794  L 6902 3794 <6901, 5> <6903, 4>
3796  L 6903 3796 <6902, 4> <6904, 5>
3797  L 6904 3797 <6903, 5> <6905, 3>
3799  L 6905 3799 <6904, 3> <6906, 2>
3800  L 6906 3800 <6905, 2> <6907, 4>
3801  L 6907 3801 <6906, 4> <6908, 2>
3803  L 6908 3803 <6907, 2> <6909, 4>
3805  L 6909 3805 <6908, 4> <6910, 5>
3806  L 6910 3806 <6909, 5> <6911, 5>
3807  L 6911 3807 <6910, 5> <6912, 5>
3809  L 6912 3809 <6911, 5> <6913, 3>
3810  L 6913 3810 <6912, 3> <6914, 3>
3811  L 6914 3811 <6913, 3> <6915, 2>
3813  L 6915 3813 <6914, 2> <6916, 4>
3815  L 6916 3815 <6915, 4> <6917, 3>
3817  L 6917 3817 <6916, 3> <6918, 5>
3818  L 6918 3818 <6917, 5> <6919, 1>
3819  L 6919 3819 <6918, 1> <6920, 5>
3820  L 6920 3820 <6919, 5> <6921, 1>
3821  L 6921 3821 <6920, 1> <6922, 1>
3823  L 6922 3823 <6921, 1> <6923, 5>
3824  L 6923 3824 <6922, 5> <6924, 3>
3826  L 6924 3826 <6923, 3> <6925, 3>
3827  L 6925 3827 <6924, 3> <6926, 3>
3828  L 6926 3828 <6925, 3> <6927, 2>
3830  L 6927 3830 <6926, 2> <6928, 4>
3832  L 6928 3832 <6927, 4> <6929, 4>
3833  L 6929 3833 <6928, 4> <6930, 3>
3835  L 6930 3835 <6929, 3> <6931, 4>
3836  L 6931 3836 <6930, 4> <6932, 1>
3837  L 6932 3837 <6931, 1> <6933, 6>
3839  L 6933 3839 <6932, 6> <6934, 1>
3840  L 6934 3840 <6933, 1> <6935, 2>
3842  L 6935 3842 <6934, 2> <6936, 6>
3843  L 6936 3843 <6935, 6> <6937, 1>
3844  L 6937 3844 <6936, 1> <6938, 3>
3846  L 6938 3846 <6937, 3> <6939, 6>
3847  L 6939 3847 <6938, 6> <6940, 4>
3848  L 6940 3848 <6939, 4> <6941, 1>
3850  L 6941 3850 <6940, 1> <6942, 5>
3852  L 6942 3852 <6941, 5> <6943, 5>
3854  L 6943 3854 <6942, 5> <6944, 1>
3856  L 6944 3856 <6943, 1> <6945, 4>
3858  L 6945 3858 <6944, 4> <6946, 2>
3860  L 6946 3860 <6945, 2> <6947, 1>
3862  L 6947 3862 <6946, 1> <6948, 6>
3863  L 6948 3863 <6947, 6> <6949, 5>
3864  L 6949 3864 <6948, 5> <6950, 5>
3866  L 6950 3866 <6949, 5> <6951, 4>
3867  L 6951 3867 <6950, 4> <6952, 6>
3868  L 6952 3868 <6951, 6> <6953, 4>
3869  L 6953 3869 <6952, 4> <6954, 5>
3870  L 6954 3870 <6953, 5> <6955, 1>
3871  L 6955 3871 <6954, 1> <6956, 1>
3873  L 6956 3873 <6955, 1> <6957, 6>
3875  L 6957 3875 <6956, 6> <6958, 5>
3876  L 6958 3876 <6957, 5> <6959, 5>
3877  L 6959 3877 <6958, 5> <6960, 4>
3879  L 6960 3879 <6959, 4> <6961, 2>
3880  L 6961 3880 <6960, 2> <6962, 4>
3881  L 6962 3881 <6961, 4> <6963, 3>
3883  L 6963 3883 <6962, 3> <6964, 4>
3885  L 6964 3885 <6963, 4> <6965, 2>
3886  L 6965 3886 <6964, 2> <6966, 3>
3887  L 6966 3887 <6965, 3> <6967, 6>
3888  L 6967 3888 <6966, 6> <6968, 1>
3890  L 6968 3890 <6967, 1> <6969, 2>
3891  L 6969 3891 <6968, 2> <6970, 2>
3892  L 6970 3892 <6969, 2> <6971, 5>
3893  L 6971 3893 <6970, 5> <6972, 3>
3894  L 6972 3894 <6971, 3> <6973, 5>
3895  L 6973 3895 <6972, 5> <6974, 4>
3896  L 6974 3896 <6973, 4> <6975, 5>
3897  L 6975 3897 <6974, 5> <6976, 2>
3898  L 6976 3898 <6975, 2> <6977, 4>
3899  L 6977 3899 <6976, 4> <6978, 2>
3900  L 6978 3900 <6977, 2> <6979, 3>
3901  L 6979 3901 <6978, 3> <6980, 3>
3903  L 6980 3903 <6979, 3> <6981, 2>
3905  L 6981 3905 <6980, 2> <6982, 5>
3906  L 6982 3906 <6981, 5> <6983, 5>
3907  L 6983 3907 <6982, 5> <6984, 5>
3909  L 6984 3909 <6983, 5> <6985, 3>
3910  L 6985 3910 <6984, 3> <6986, 2>
3911  L 6986 3911 <6985, 2> <6987, 4>
3912  L 6987 3912 <6986, 4> <6988, 1>
3913  L 6988 3913 <6987, 1> <6989, 5>
3915  L 6989 3915 <6988, 5> <6990, 4>
3916  L 6990 3916 <6989, 4> <6991, 5>
3917  L 6991 3917 <6990, 5> <6992, 4>
3919  L 6992 3919 <6991, 4> <6993, 4>
3920  L 6993 3920 <6992, 4> <6994, 1>
3922  L 6994 3922 <6993, 1> <6995, 3>
3923  L 6995 3923 <6994, 3> <6996, 4>
3925  L 6996 3925 <6995, 4> <6997, 4>
3926  L 6997 3926 <6996, 4> <6998, 2>
3928  L 6998 3928 <6997, 2> <6999, 6>
3929  L 6999 3929 <6998, 6> <7000, 5>
3930  L 7000 3930 <6999, 5> <7001, 1>
3931  L 7001 3931 <7000, 1> <7002, 5>
3932  L 7002 3932 <7001, 5> <7003, 6>
3934  L 7003 3934 <7002, 6> <7004, 5>
3935  L 7004 3935 <7003, 5> <7005, 6>
3936  L 7005 3936 <7004, 6> <7006, 4>
3938  L 7006 3938 <7005, 4> <7007, 3>
3939  L 7007 3939 <7006, 3> <7008, 4>
3940  L 7008 3940 <7007, 4> <7009, 1>
3941  L 7009 3941 <7008, 1> <7010, 3>
3943  L 7010 3943 <7009, 3> <7011, 2>
3945  L 7011 3945 <7010, 2> <7012, 6>
3946  L 7012 3946 <7011, 6> <7013, 2>
3948  L 7013 3948 <7012, 2> <7014, 4>
3950  L 7014 3950 <7013, 4> <7015, 2>
3951  L 7015 3951 <7014, 2> <7016, 2>
3953  L 7016 3953 <7015, 2> <7017, 2>
3955  L 7017 3955 <7016, 2> <7018, 2>
3956  L 7018 3956 <7017, 2> <7019, 3>
3957  L 7019 3957 <7018, 3> <7020, 3>
3959  L 7020 3959 <7019, 3> <7021, 3>
3960  L 7021 3960 <7020, 3> <7022, 6>
3961  L 7022 3961 <7021, 6> <7023, 1>
3963  L 7023 3963 <7022, 1> <7024, 2>
3964  L 7024 3964 <7023, 2> <7025, 3>
3966  L 7025 3966 <7024, 3> <7026, 3>
3967  L 7026 3967 <7025, 3> <7027, 6>
3968  L 7027 3968 <7026, 6> <7028, 1>
3969  L 7028 3969 <7027, 1> <7029, 5>
3970  L 7029 3970 <7028, 5> <7030, 6>
3971  L 7030 3971 <7029, 6> <7031, 4>
3973  L 7031 3973 <7030, 4> <7032, 3>
3974  L 7032 3974 <7031, 3> <7033, 1>
3976  L 7033 3976 <7032, 1> <7034, 4>
3977  L 7034 3977 <7033, 4> <7035, 6>
3978  L 7035 3978 <7034, 6> <7036, 4>
3980  L 7036 3980 <7035, 4> <7037, 4>
3981  L 7037 3981 <7036, 4> <7038, 2>
3982  L 7038 3982 <7037, 2> <7039, 2>
3983  L 7039 3983 <7038, 2> <7040, 5>
3984  L 7040 3984 <7039, 5> <7041, 4>
3986  L 7041 3986 <7040, 4> <7042, 1>
3987  L 7042 3987 <7041, 1> <7043, 5>
3988  L 7043 3988 <7042, 5> <7044, 4>
3990  L 7044 3990 <7043, 4> <7045, 4>
3991  L 7045 3991 <7044, 4> <7046, 3>
3993  L 7046 3993 <7045, 3> <7047, 3>
3994  L 7047 3994 <7046, 3> <7048, 1>
3995  L 7048 3995 <7047, 1> <7049, 1>
3996  L 7049 3996 <7048, 1> <7050, 2>
3998  L 7050 3998 <7049, 2> <7051, 5>
3999  L 7051 3999 <7050, 5> <7052, 4>
4000  L 7052 4000 <7051, 4> <7053, 3>
4002  L 7053 4002 <7052, 3> <7054, 5>
4003  L 7054 4003 <7053, 5> <7055, 4>
4004  L 7055 4004 <7054, 4> <7056, 3>
4006  L 7056 4006 <7055, 3> <7057, 4>
4008  L 7057 4008 <7056, 4> <7058, 5>
4009  L 7058 4009 <7057, 5> <7059, 2>
4010  L 7059 4010 <7058, 2> <7060, 1>
4011  L 7060 4011 <7059, 1> <7061, 4>
4012  L 7061 4012 <7060, 4> <7062, 5>
4013  L 7062 4013 <7061, 5> <7063, 2>
4015  L 7063 4015 <7062, 2> <7064, 2>
4017  L 7064 4017 <7063, 2> <7065, 1>
4018  L 7065 4018 <7064, 1> <7066, 5>
4019  L 7066 4019 <7065, 5> <7067, 5>
4021  L 7067 4021 <7066, 5> <7068, 6>
4023  L 7068 4023 <7067, 6> <7069, 3>
4025  L 7069 4025 <7068, 3> <7070, 3>
4027  L 7070 4027 <7069, 3> <7071, 6>
4029  L 7071 4029 <7070, 6> <7072, 5>
4030  L 7072 4030 <7071, 5> <7073, 2>
4031  L 7073 4031 <7072, 2> <7074, 3>
4032  L 7074 4032 <7073, 3> <7075, 2>
4033  L 7075 4033 <7074, 2> <7076, 1>
4034  L 7076 4034 <7075, 1> <7077, 4>
4035  L 7077 4035 <7076, 4> <7078, 2>
4036  L 7078 4036 <7077, 2> <7079, 1>
4038  L 7079 4038 <7078, 1> <7080, 2>
4040  L 7080 4040 <7079, 2> <7081, 6>
4042  L 7081 4042 <7080, 6> <7082, 5>
4043  L 7082 4043 <7081, 5> <7083, 2>
4044  L 7083 4044 <7082, 2> <7084, 4>
4046  L 7084 4046 <7083, 4> <7085, 6>
4047  L 7085 4047 <7084, 6> <7086, 1>
4049  L 7086 4049 <7085, 1> <7087, 3>
4050  L 7087 4050 <7086, 3> <7088, 3>
4052  L 7088 4052 <7087, 3> <7089, 2>
4054  L 7089 4054 <7088, 2> <7090, 1>
4056  L 7090 4056 <7089, 1> <7091, 1>
4058  L 7091 4058 <7090, 1> <7092, 6>
4059  L 7092 4059 <7091, 6> <7093, 1>
4060  L 7093 4060 <7092, 1> <7094, 3>
4061  L 7094 4061 <7093, 3> <7095, 2>
4062  L 7095 4062 <7094, 2> <7096, 2>
4063  L 7096 4063 <7095, 2> <7097, 5>
4065  L 7097 4065 <7096, 5> <7098, 6>
4066  L 7098 4066 <7097, 6> <7099, 2>
4067  L 7099 4067 <7098, 2> <7100, 1>
4068  L 7100 4068 <7099, 1> <7101, 1>
4069  L 7101 4069 <7100, 1> <7102, 5>
4071  L 7102 4071 <7101, 5> <7103, 2>
4072  L 7103 4072 <7102, 2> <7104, 1>
4074  L 7104 4074 <7103, 1> <7105, 1>
4076  L 7105 4076 <7104, 1> <7106, 5>
4078  L 7106 4078 <7105, 5> <7107, 3>
4080  L 7107 4080 <7106, 3> <7108, 3>
4082  L 7108 4082 <7107, 3> <7109, 2>
4083  L 7109 4083 <7108, 2> <7110, 3>
4084  L 7110 4084 <7109, 3> <7111, 3>
4086  L 7111 4086 <7110, 3> <7112, 4>
4087  L 7112 4087 <7111, 4> <7113, 1>
4089  L 7113 4089 <7112, 1> <7114, 3>
4090  L 7114 4090 <7113, 3> <7115, 1>
4092  L 7115 4092 <7114, 1> <7116, 2>
4094  L 7116 4094 <7115, 2> <7117, 5>
4096  L 7117 4096 <7116, 5> <7118, 1>
4098  L 7118 4098 <7117, 1> <7119, 2>
4100  L 7119 4100 <7118, 2> <7120, 4>
4102  L 7120 4102 <7119, 4> <7121, 2>
4104  L 7121 4104 <7120, 2> <7122, 3>
4106  L 7122 4106 <7121, 3> <7123, 3>
4108  L 7123 4108 <7122, 3> <7124, 5>
4109  L 7124 4109 <7123, 5> <7125, 5>
4110  L 7125 4110 <7124, 5> <7126, 1>
4111  L 7126 4111 <7125, 1> <7127, 6>
4112  L 7127 4112 <7126, 6> <7128, 2>
4113  L 7128 4113 <7127, 2> <7129, 2>
4115  L 7129 4115 <7128, 2> <7130, 1>
4117  L 7130 4117 <7129, 1> <7131, 5>
4118  L 7131 4118 <7130, 5> <7132, 4>
4120  L 7132 4120 <7131, 4> <7133, 2>
4121  L 7133 4121 <7132, 2> <7134, 2>
4123  L 7134 4123 <7133, 2> <7135, 6>
4124  L 7135 4124 <7134, 6> <7136, 6>
4125  L 7136 4125 <7135, 6> <7137, 2>
4126  L 7137 4126 <7136, 2> <7138, 1>
4128  L 7138 4128 <7137, 1> <7139, 5>
4130  L 7139 4130 <7138, 5> <7140, 3>
4131  L 7140 4131 <7139, 3> <7141, 4>
4132  L 7141 4132 <7140, 4> <7142, 6>
4134  L 7142 4134 <7141, 6> <7143, 3>
4136  L 7143 4136 <7142, 3> <7144, 5>
4137  L 7144 4137 <7143, 5> <7145, 1>
4138  L 7145 4138 <7144, 1> <7146, 1>
4139  L 7146 4139 <7145, 1> <7147, 1>
4140  L 7147 4140 <7146, 1> <7148, 1>
4141  L 7148 4141 <7147, 1> <7149, 1>
4142  L 7149 4142 <7148, 1> <7150, 4>
4144  L 7150 4144 <7149, 4> <7151, 3>
4145  L 7151 4145 <7150, 3> <7152, 1>
4146  L 7152 4146 <7151, 1> <7153, 2>
4148  L 7153 4148 <7152, 2> <7154, 4>
4150  L 7154 4150 <7153, 4> <7155, 6>
4152  L 7155 4152 <7154, 6> <7156, 5>
4154  L 7156 4154 <7155, 5> <7157, 6>
4155  L 7157 4155 <7156, 6> <7158, 1>
4157  L 7158 4157 <7157, 1> <7159, 3>
4159  L 7159 4159 <7158, 3> <7160, 6>
4160  L 7160 4160 <7159, 6> <7161, 5>
4161  L 7161 4161 <7160, 5> <7162, 5>
4163  L 7162 4163 <7161, 5> <7163, 3>
4164  L 7163 4164 <7162, 3> <7164, 1>
4166  L 7164 4166 <7163, 1> <7165, 5>
4167  L 7165 4167 <7164, 5> <7166, 2>
4168  L 7166 4168 <7165, 2> <7167, 4>
4170  L 7167 4170 <7166, 4> <7168, 5>
4172  L 7168 4172 <7167, 5> <7169, 1>
4173  L 7169 4173 <7168, 1> <7170, 5>
4174  L 7170 4174 <7169, 5> <7171, 2>
4176  L 7171 4176 <7170, 2> <7172, 3>
4177  L 7172 4177 <7171, 3> <7173, 5>
4179  L 7173 4179 <7172, 5> <7174, 2>
4180  L 7174 4180 <7173, 2> <7175, 2>
4182  L 7175 4182 <7174, 2> <7176, 1>
4183  L 7176 4183 <7175, 1> <7177, 4>
4185  L 7177 4185 <7176, 4> <7178, 5>
4186  L 7178 4186 <7177, 5> <7179, 4>
4187  L 7179 4187 <7178, 4> <7180, 2>
4188  L 7180 4188 <7179, 2> <7181, 4>
4190  L 7181 4190 <7180, 4> <7182, 5>
4191  L 7182 4191 <7181, 5> <7183, 3>
4192  L 7183 4192 <7182, 3> <7184, 1>
4193  L 7184 4193 <7183, 1> <7185, 2>
4195  L 7185 4195 <7184, 2> <7186, 4>
4197  L 7186 4197 <7185, 4> <7187, 5>
4199  L 7187 4199 <7186, 5> <7188, 1>
4201  L 7188 4201 <7187, 1> <7189, 6>
4203  L 7189 4203 <7188, 6> <7190, 6>
4205  L 7190 4205 <7189, 6> <7191, 2>
4206  L 7191 4206 <7190, 2> <7192, 6>
4208  L 7192 4208 <7191, 6> <7193, 5>
4210  L 7193 4210 <7192, 5> <7194, 2>
4211  L 7194 4211 <7193, 2> <7195, 5>
4212  L 7195 4212 <7194, 5> <7196, 1>
4214  L 7196 4214 <7195, 1> <7197, 3>
4215  L 7197 4215 <7196, 3> <7198, 5>
4216  L 7198 4216 <7197, 5> <7199, 6>
4218  L 7199 4218 <7198, 6> <7200, 3>
4219  L 7200 4219 <7199, 3> <7201, 3>
4220  L 7201 4220 <7200, 3> <7202, 5>
4222  L 7202 4222 <7201, 5> <7203, 1>
4223  L 7203 4223 <7202, 1> <7204, 4>
4224  L 7204 4224 <7203, 4> <7205, 1>
4225  L 7205 4225 <7204, 1> <7206, 6>
4226  L 7206 4226 <7205, 6> <7207, 5>
4227  L 7207 4227 <7206, 5> <7208, 5>
4229  L 7208 4229 <7207, 5> <7209, 1>
4231  L 7209 4231 <7208, 1> <7210, 3>
4233  L 7210 4233 <7209, 3> <7211, 2>
4235  L 7211 4235 <7210, 2> <7212, 1>
4236  L 7212 4236 <7211, 1> <7213, 4>
4237  L 7213 4237 <7212, 4> <7214, 2>
4238  L 7214 4238 <7213, 2> <7215, 3>
4239  L 7215 4239 <7214, 3> <7216, 6>
4240  L 7216 4240 <7215, 6> <7217, 2>
4241  L 7217 4241 <7216, 2> <7218, 2>
4242  L 7218 4242 <7217, 2> <7219, 3>
4244  L 7219 4244 <7218, 3> <7220, 1>
4246  L 7220 4246 <7219, 1> <7221, 1>
4248  L 7221 4248 <7220, 1> <7222, 1>
4249  L 7222 4249 <7221, 1> <7223, 3>
4251  L 7223 4251 <7222, 3> <7224, 4>
4253  L 7224 4253 <7223, 4> <7225, 4>
4254  L 7225 4254 <7224, 4> <7226, 5>
4255  L 7226 4255 <7225, 5> <7227, 3>
4256  L 7227 4256 <7226, 3> <7228, 6>
4258  L 7228 4258 <7227, 6> <7229, 5>
4260  L 7229 4260 <7228, 5> <7230, 5>
4262  L 7230 4262 <7229, 5> <7231, 4>
4264  L 7231 4264 <7230, 4> <7232, 1>
4266  L 7232 4266 <7231, 1> <7233, 5>
4267  L 7233 4267 <7232, 5> <7234, 5>
4268  L 7234 4268 <7233, 5> <7235, 2>
4270  L 7235 4270 <7234, 2> <7236, 4>
4271  L 7236 4271 <7235, 4> <7237, 1>
4272  L 7237 4272 <7236, 1> <7238, 4>
4274  L 7238 4274 <7237, 4> <7239, 3>
4275  L 7239 4275 <7238, 3> <7240, 3>
4276  L 7240 4276 <7239, 3> <7241, 1>
4278  L 7241 4278 <7240, 1> <7242, 4>
4280  L 7242 4280 <7241, 4> <7243, 3>
4282  L 7243 4282 <7242, 3> <7244, 6>
4284  L 7244 4284 <7243, 6> <7245, 4>
4286  L 7245 4286 <7244, 4> <7246, 4>
4288  L 7246 4288 <7245, 4> <7247, 2>
4290  L 7247 4290 <7246, 2> <7248, 5>
4291  L 7248 4291 <7247, 5> <7249, 2>
4293  L 7249 4293 <7248, 2> <7250, 5>
4295  L 7250 4295 <7249, 5> <7251, 2>
4297  L 7251 4297 <7250, 2> <7252, 4>
4298  L 7252 4298 <7251, 4> <7253, 5>
4299  L 7253 4299 <7252, 5> <7254, 4>
4301  L 7254 4301 <7253, 4> <7255, 4>
4303  L 7255 4303 <7254, 4> <7256, 5>
4304  L 7256 4304 <7255, 5> <7257, 1>
4306  L 7257 4306 <7256, 1> <7258, 5>
4307  L 7258 4307 <7257, 5> <7259, 4>
4308  L 7259 4308 <7258, 4> <7260, 3>
4310  L 7260 4310 <7259, 3> <7261, 3>
4312  L 7261 4312 <7260, 3> <7262, 5>
4313  L 7262 4313 <7261, 5> <7263, 2>
4314  L 7263 4314 <7262, 2> <7264, 3>
4316  L 7264 4316 <7263, 3> <7265, 1>
4317  L 7265 4317 <7264, 1> <7266, 3>
4318  L 7266 4318 <7265, 3> <7267, 5>
4319  L 7267 4319 <7266, 5> <7268, 1>
4320  L 7268 4320 <7267, 1> <7269, 3>
4321  L 7269 4321 <7268, 3> <7270, 2>
4323  L 7270 4323 <7269, 2> <7271, 5>
4324  L 7271 4324 <7270, 5> <7272, 2>
4325  L 7272 4325 <7271, 2> <7273, 1>
4326  L 7273 4326 <7272, 1> <7274, 5>
4327  L 7274 4327 <7273, 5> <7275, 4>
4329  L 7275 4329 <7274, 4> <7276, 2>
4330  L 7276 4330 <7275, 2> <7277, 1>
4332  L 7277 4332 <7276, 1> <7278, 3>
4333  L 7278 4333 <7277, 3> <7279, 6>
4334  L 7279 4334 <7278, 6> <7280, 5>
4336  L 7280 4336 <7279, 5> <7281, 5>
4338  L 7281 4338 <7280, 5> <7282, 1>
4339  L 7282 4339 <7281, 1> <7283, 4>
4341  L 7283 4341 <7282, 4> <7284, 1>
4342  L 7284 4342 <7283, 1> <7285, 1>
4343  L 7285 4343 <7284, 1> <7286, 2>
4344  L 7286 4344 <7285, 2> <7287, 6>
4346  L 7287 4346 <7286, 6> <7288, 1>
4348  L 7288 4348 <7287, 1> <7289, 6>
4349  L 7289 4349 <7288, 6> <7290, 5>
4350  L 7290 4350 <7289, 5> <7291, 4>
4352  L 7291 4352 <7290, 4> <7292, 1>
4353  L 7292 4353 <7291, 1> <7293, 3>
4354  L 7293 4354 <7292, 3> <7294, 3>
4355  L 7294 4355 <7293, 3> <7295, 5>
4356  L 7295 4356 <7294, 5> <7296, 4>
4358  L 7296 4358 <7295, 4> <7297, 4>
4359  L 7297 4359 <7296, 4> <7298, 2>
4360  L 7298 4360 <7297, 2> <7299, 2>
4361  L 7299 4361 <7298, 2> <7300, 5>
4362  L 7300 4362 <7299, 5> <7301, 5>
4364  L 7301 4364 <7300, 5> <7302, 1>
4365  L 7302 4365 <7301, 1> <7303, 3>
4367  L 7303 4367 <7302, 3> <7304, 3>
4369  L 7304 4369 <7303, 3> <7305, 4>
4370  L 7305 4370 <7304, 4> <7306, 4>
4372  L 7306 4372 <7305, 4> <7307, 2>
4374  L 7307 4374 <7306, 2> <7308, 5>
4375  L 7308 4375 <7307, 5> <7309, 4>
4376  L 7309 4376 <7308, 4> <7310, 1>
4377  L 7310 4377 <7309, 1> <7311, 3>
4378  L 7311 4378 <7310, 3> <7312, 3>
4380  L 7312 4380 <7311, 3> <7313, 2>
4381  L 7313 4381 <7312, 2> <7314, 5>
4382  L 7314 4382 <7313, 5> <7315, 5>
4384  L 7315 4384 <7314, 5> <7316, 2>
4385  L 7316 4385 <7315, 2> <7317, 5>
4386  L 7317 4386 <7316, 5> <7318, 2>
4387  L 7318 4387 <7317, 2> <7319, 5>
4388  L 7319 4388 <7318, 5> <7320, 1>
4390  L 7320 4390 <7319, 1> <7321, 2>
4391  L 7321 4391 <7320, 2> <7322, 4>
4392  L 7322 4392 <7321, 4> <7323, 3>
4394  L 7323 4394 <7322, 3> <7324, 3>
4395  L 7324 4395 <7323, 3> <7325, 1>
4397  L 7325 4397 <7324, 1> <7326, 5>
4399  L 7326 4399 <7325, 5> <7327, 4>
4401  L 7327 4401 <7326, 4> <7328, 3>
4403  L 7328 4403 <7327, 3> <7329, 2>
4405  L 7329 4405 <7328, 2> <7330, 2>
4406  L 7330 4406 <7329, 2> <7331, 3>
4407  L 7331 4407 <7330, 3> <7332, 5>
4408  L 7332 4408 <7331, 5> <7333, 4>
4409  L 7333 4409 <7332, 4> <7334, 1>
4410  L 7334 4410 <7333, 1> <7335, 5>
4412  L 7335 4412 <7334, 5> <7336, 5>
4413  L 7336 4413 <7335, 5> <7337, 2>
4415  L 7337 4415 <7336, 2> <7338, 5>
4417  L 7338 4417 <7337, 5> <7339, 1>
4418  L 7339 4418 <7338, 1> <7340, 4>
4419  L 7340 4419 <7339, 4> <7341, 4>
4420  L 7341 4420 <7340, 4> <7342, 1>
4421  L 7342 4421 <7341, 1> <7343, 4>
4423  L 7343 4423 <7342, 4> <7344, 5>
4424  L 7344 4424 <7343, 5> <7345, 1>
4426  L 7345 4426 <7344, 1> <7346, 1>
4427  L 7346 4427 <7345, 1> <7347, 2>
4429  L 7347 4429 <7346, 2> <7348, 1>
4431  L 7348 4431 <7347, 1> <7349, 1>
4432  L 7349 4432 <7348, 1> <7350, 1>
4434  L 7350 4434 <7349, 1> <7351, 3>
4435  L 7351 4435 <7350, 3> <7352, 1>
4436  L 7352 4436 <7351, 1> <7353, 3>
4438  L 7353 4438 <7352, 3> <7354, 1>
4439  L 7354 4439 <7353, 1> <7355, 4>
4441  L 7355 4441 <7354, 4> <7356, 1>
4443  L 7356 4443 <7355, 1> <7357, 3>
4444  L 7357 4444 <7356, 3> <7358, 3>
4446  L 7358 4446 <7357, 3> <7359, 4>
4448  L 7359 4448 <7358, 4> <7360, 2>
4449  L 7360 4449 <7359, 2> <7361, 3>
4451  L 7361 4451 <7360, 3> <7362, 6>
4452  L 7362 4452 <7361, 6> <7363, 3>
4454  L 7363 4454 <7362, 3> <7364, 1>
4455  L 7364 4455 <7363, 1> <7365, 5>
4456  L 7365 4456 <7364, 5> <7366, 3>
4458  L 7366 4458 <7365, 3> <7367, 4>
4459  L 7367 4459 <7366, 4> <7368, 1>
4461  L 7368 4461 <7367, 1> <7369, 3>
4463  L 7369 4463 <7368, 3> <7370, 3>
4465  L 7370 4465 <7369, 3> <7371, 3>
4466  L 7371 4466 <7370, 3> <7372, 2>
4468  L 7372 4468 <7371, 2> <7373, 3>
4470  L 7373 4470 <7372, 3> <7374, 1>
4472  L 7374 4472 <7373, 1> <7375, 2>
4474  L 7375 4474 <7374, 2> <7376, 6>
4475  L 7376 4475 <7375, 6> <7377, 3>
4476  L 7377 4476 <7376, 3> <7378, 1>
4478  L 7378 4478 <7377, 1> <7379, 3>
4480  L 7379 4480 <7378, 3> <7380, 5>
4481  L 7380 4481 <7379, 5> <7381, 1>
4483  L 7381 4483 <7380, 1> <7382, 5>
4485  L 7382 4485 <7381, 5> <7383, 2>
4486  L 7383 4486 <7382, 2> <7384, 2>
4487  L 7384 4487 <7383, 2> <7385, 4>
4489  L 7385 4489 <7384, 4> <7386, 1>
4490  L 7386 4490 <7385, 1> <7387, 1>
4491  L 7387 4491 <7386, 1> <7388, 3>
4493  L 7388 4493 <7387, 3> <7389, 1>
4495  L 7389 4495 <7388, 1> <7390, 2>
4496  L 7390 4496 <7389, 2> <7391, 3>
4497  L 7391 4497 <7390, 3> <7392, 5>
4498  L 7392 4498 <7391, 5> <7393, 2>
4499  L 7393 4499 <7392, 2> <7394, 1>
4500  L 7394 4500 <7393, 1> <7395, 3>
4501  L 7395 4501 <7394, 3> <7396, 3>
4502  L 7396 4502 <7395, 3> <7397, 3>
4503  L 7397 4503 <7396, 3> <7398, 3>
4505  L 7398 4505 <7397, 3> <7399, 2>
4507  L 7399 4507 <7398, 2> <7400, 2>
4508  L 7400 4508 <7399, 2> <7401, 6>
4509  L 7401 4509 <7400, 6> <7402, 4>
4510  L 7402 4510 <7401, 4> <7403, 5>
4511  L 7403 4511 <7402, 5> <7404, 4>
4512  L 7404 4512 <7403, 4> <7405, 4>
4513  L 7405 4513 <7404, 4> <7406, 3>
4514  L 7406 4514 <7405, 3> <7407, 4>
4516  L 7407 4516 <7406, 4> <7408, 3>
4518  L 7408 4518 <7407, 3> <7409, 2>
4519  L 7409 4519 <7408, 2> <7410, 3>
4520  L 7410 4520 <7409, 3> <7411, 4>
4522  L 7411 4522 <7410, 4> <7412, 3>
4524  L 7412 4524 <7411, 3> <7413, 2>
4525  L 7413 4525 <7412, 2> <7414, 3>
